Waterway,BCC Site Code,Stream Order,Location,Elevation (m AHD),Dist to Sea (km),Catchment,Suburb,Latitude,Longitude,Year we started to use this site (new coordinates),Year we stopped using this site
Bridgewater Ck,NM03,1,Leicester St,8,21,Norman Ck,Coorparoo,-27.497,153.0674,,
Bridgewater Ck,NM04,1,Boongall Rd,4,20,Norman Ck,Camp Hill,-27.4945,153.0653,,
Norman Ck,NM05,2,Joachin St,15,25,Norman Ck,Holland Park West,-27.5211,153.0551,,
Norman Ck,NM06,1,Bapaume Rd,34,27,Norman Ck,Holland Park West,-27.5345,153.0618,,
Downfall Creek,NN01,2,Brickyard Road,6,12,Nundah Ck,Virginia,-27.3813,153.061,,
Trib Stable Swamp Ck,OX01,3,Gay St,16,54,Oxley Ck,Acacia Ridge,-27.5737,153.0356,,
Sheep Station Gully,OX02,4,Nottingham Rd,13,57,Oxley Ck,Algestor,-27.6293,153.0325,,
Oxley Creek,OX06,4,Forestdale,23,52,Oxley Creek,Forestdale,-27.66498,152.99167,,
Oxley Creek,OXN01,5,Lismore Street,4,54,Oxley Ck,Acacia Ridge,-27.5861,153.0127,,
Blunder Creek,OXN2,4,Brookside Road,13,57,Oxley Ck,Doolandella,-27.6147,152.9985,,
Oxley Creek,OXN3,5,Brookbent Road,11,60,Oxley Ck,Pallara,-27.6205,153.0204,,
Un-named Trib. Oxley Creek,OXN4,3,Oakview Street,17,62,Oxley Ck,Larapinta,-27.6344,153.0193,,
Perrin Ck,P01,1,Mornington Cr,6,16,Perrin Creek,Morningside,-27.4696,153.0782,,
Pullen Pullen Ck,PL01,3,White Cedar Rd,47,69,Pullen Pullen Ck,Pullenvale,-27.511,152.8789,,
Kangaroo Gully,PL02,3,Kangaroo Gully Rd,11,62,Pullen Pullen Ck,Bellbowrie,-27.5515,152.8795,,
Unnamed Ck,PL03,2,Pioneers Cres,31,64,Pullen Pullen Ck,Bellbowrie,-27.5612,152.8725,,
Pullen Pullen Ck,PLN01,3,Moggill Rd,15,55,Pullen Pullen Ck,Bellbowrie,-27.5491,152.8886,2017,
Pullen Pullen Ck,PLN02,3,Grandview Rd,38,60,Pullen Pullen Ck,Pullenvale,-27.5271,152.8932,,
Sandy Ck,SI01,3,Indooroopilly Rd,6,39,Sandy Ck,Indooroopilly,-27.5032,152.9896,,
Priest Gully,T01,4,Moxon Rd,21,19,Tingalpa Ck,Burbank,-27.5661,153.1464,,
Priest Gully,T02,4,Adams Crossing (Ford Road),27,21,Tingalpa Ck,Burbank,-27.5736,153.1386,,
Tributary of Priest Gully,T03,1,Brisbane Koala Bushland (Alperton Road),29,20,Tingalpa Ck,Burbank,-27.575,153.1527,,
Tributary of Tingalpa Ck,T04,4,Sunnydene Rd,6,7,Tingalpa Ck,Tingalpa,-27.5136,153.1838,,
Tingalpa Creek,T06,4,Leacroft Road,30,17,Tingalpa Ck,Burbank,-27.5809,153.1792,,
Wynnum Ck,W01,1,Tantani St,15,5,Wynnum Ck,Manly West,-27.4664,153.1619,,
Wynnum Ck,W02,2,Wondall Rd,13,4,Wynnum Ck,Wynnum West,-27.4604,153.1636,,
Wynnum Ck,W03,2,Tingal Road,3,1,Wynnum Ck,Wynnum,-27.4428,153.169,,
Sandy Ck,WS01,2,Campbell Ave,15,70,Wolston Ck,Wacol,-27.5956,152.9259,,
Bullockhead Ck,WS02,2,Progress Road,20,70,Wolston Ck,Wacol,-27.5957,152.9395,,
Wolston Creek,WSN01,3,Spine Street,3,65,Wolston Ck,Sumner,-27.5677,152.9321,,
